WID,TrialName,TrialBase,Type,Materials,RevType,Response,NormResp,Falls,TrialOrd,Time
A33HHJ06ONLI5G:3OB0CAO74I92266FGF9DVKCRBAZHY8,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,81,4406
A1HK4I1TCQJR6P:3EG49X351VWX5CWOF0W7FFGS0QP6XQ,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,73,3017
A2541C8MY0BYV3:3X65QVEQI17RLZO0B86MQLDFPZILCV,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,77,3961
A1DJNUJZN8FE7N:3D8YOU6S9F45O82TAVLKV8HO6886UY,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,103,2060
A3F0NFNLOLFJT0:32Q90QCQ1T5VYRQWMZ0G1903LFYKE0,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,127,1312
A2EI075XZT9Y2S:3RKNTXVS3NI7UCKHL2BEY9LG3A2A4P,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,104,9626
A1M682B2WUSYJP:3JC6VJ2SAC3PQVOHZ7UO31RU3A55A5,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,66,1849
A2BW6WD7LZ9EGV:3R08VXYT7DF1KC53O55DJA2HMVV7WH,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,96,829
A1YM0IWPC72J7V:3QHK8ZVMIN28BUWUX8ARF17X7EILBO,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,50,1700
A1TLNLB9D87H6:37TD41K0AITEPCJQVH3N27RAHTQCS0,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,62,1775
A28HYRF3QXFAXL:3VJ40NV2QJ7GD1T8AMH47CHD8UVOTE,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,100,11770
A1GZOEMTN2KYDA:3GD6L00D3THR4EWNVNIH929DLBPM1O,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,32,1609
A2WT6FV92737W6:37UQDCYH6YFO5N5YYV0HX8J3FMT7V7,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,46,2602
AY7WPVKHVNBLG:3H8DHMCCWAVQ6LCWQ4PWVRIIL3XKD7,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,91,1224
A23OR0D1FCUVMM:30ZX6P7VF9F8SR8YBU53YTR19N82JH,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,38,3546
A1GXFMAC759VRM:3SNVL38CI5CG1T6IQ8ULBL0003LKC7,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,23,2285
A18ABCQ0UCECNP:3VP0C6EFSHGMB0XK1TUY4Y0UTM5M6M,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,6,3868
A2P18KT7WGSZA4:3WJEQKOXA9MQ2DNYYKSC0BEDRQSA1C,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,63,1357
A1CSDIX05PK9V:31IBVUNM9TJ1KGK4GEYTL0WKDACFVJ,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,L,L,B,63,5611
A2S4YDJ9UGAXFQ:39K0FND3AIZNY29NR6BAK32GP5VMAC,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,92,1680
A13XS8F6QHRT6H:35L9RVQFCP2LLXMA6ECOSZ6EFMOHUA,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,118,1105
A19TL7AJ0FB1JG:3WYP994K18BM5HMYKWI9YTN12WJ6YW,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,0,4618
A8028AFBBS29G:3CN4LGXD5Y88QUIK18PU1V3N65D4Y9,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,32,2946
AT7THGIGM9XN5:32SVAV9L3GTMCG1DLO6VO4TAPA6A34,CBO_Mixed_0_N,CBO_Mixed_0,CBO,Mixed,N,R,R,B,13,24533
A37LY5UTJV2KYZ:3UXUOQ9OKFH4DZ20N09L1L5QUG0A7P,CBO_Mixed_0_R,CBO_Mixed_0,CBO,Mixed,R,R,L,B,110,1947
A13XS8F6QHRT6H:35L9RVQFCP2LLXMA6ECOSZ6EFMOHUA,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,26,2925
A1TLNLB9D87H6:37TD41K0AITEPCJQVH3N27RAHTQCS0,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,B,B,B,7,4120
A2WT6FV92737W6:37UQDCYH6YFO5N5YYV0HX8J3FMT7V7,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,128,2613
A1HK4I1TCQJR6P:3EG49X351VWX5CWOF0W7FFGS0QP6XQ,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,R,L,B,118,3631
A1GZOEMTN2KYDA:3GD6L00D3THR4EWNVNIH929DLBPM1O,CBO_Mixed_1_R,CBO_Mixed_1,CBO,Mixed,R,B,B,B,11,1217
A2S4YDJ9UGAXFQ:39K0FND3AIZNY29NR6BAK32GP5VMAC,CBO_Mixed_1_N,CBO_Mixed_1,CBO,Mixed,N,L,L,B,20,1717
