TrialBase,Dist_L_Same,Dist_R_Same,Mass_L_Same,Mass_R_Same,Torque_L_Same,Torque_R_Same,Type_Same,Falls_Same,Dist_L_Heavy,Dist_R_Heavy,Mass_L_Heavy,Mass_R_Heavy,Torque_L_Heavy,Torque_R_Heavy,Type_Heavy,Falls_Heavy
Dist_Mixed_1,4.21834206766,3.24560237784,6,6,25.310052406,19.473614267,Dist,L,4.21834206766,3.24560237784,4,4,16.8733682707,12.9824095114,Dist,L
Dist_Mixed_0,4.11579968637,3.17613314779,6,6,21.9005650421,17.2022323492,Dist,L,4.11579968637,3.17613314779,1,1,4.11579968637,3.17613314779,Dist,L
Dist_Mixed_3,4.19193421058,2.60224569745,2,2,5.38463640022,3.7949478871,Dist,L,4.19193421058,2.60224569745,1,1,4.19193421058,2.60224569745,Dist,L
Dist_Mixed_2,3.26544666168,2.36449626889,2,2,6.53089332336,4.72899253778,Dist,L,3.26544666168,2.36449626889,1,1,3.26544666168,2.36449626889,Dist,L
Dist_Mixed_5,4.47218567883,3.44309365512,8,8,11.3895175929,10.3604255691,Dist,L,4.47218567883,3.44309365512,1,1,4.47218567883,3.44309365512,Dist,L
Dist_Mixed_4,4.07904808793,2.32327256651,2,2,8.15809617587,4.64654513303,Dist,L,4.07904808793,2.32327256651,1,1,4.07904808793,2.32327256651,Dist,L
Dist_Mixed_7,4.11207819086,2.16387497719,2,2,8.22415638172,4.32774995437,Dist,L,4.11207819086,2.16387497719,1,1,4.11207819086,2.16387497719,Dist,L
Dist_Mixed_6,4.15724659648,3.25517695435,2,2,8.31449319295,6.5103539087,Dist,L,4.15724659648,3.25517695435,1,1,4.15724659648,3.25517695435,Dist,L
CD_Mixed_6,4.38107439637,1.668373312,3,7,13.1432231891,11.678613184,CD,L,4.38107439637,1.668373312,2,3,8.76214879274,5.00511993599,CD,L
Bal_Pure_1,3.55574702958,3.55574702958,4,4,9.17241352849,9.17241352849,Bal,B,3.55574702958,3.55574702958,4,4,9.17241352849,9.17241352849,Bal,B
Bal_Pure_0,1.86635573926,1.86635573926,3,3,5.59906721777,5.59906721777,Bal,B,1.86635573926,1.86635573926,3,3,5.59906721777,5.59906721777,Bal,B
Weight_Pure_2,4.12224187887,4.12224187887,7,6,22.0096296715,19.2011013156,Weight,L,4.12224187887,4.12224187887,7,6,22.0096296715,19.2011013156,Weight,L
CB_Pure_8,2.18097239967,4.27161033119,10,8,18.3900275727,18.3900275727,CB,B,2.18097239967,4.27161033119,10,8,18.3900275727,18.3900275727,CB,B
CB_Pure_9,4.10334842448,4.47543085687,6,4,14.9049837043,14.9049837043,CW,L,4.10334842448,4.47543085687,6,4,14.9049837043,14.9049837043,CW,L
CB_Pure_0,1.88452251614,3.58905210971,4,3,7.53809006456,7.53809006456,CB,B,1.88452251614,3.58905210971,4,3,7.53809006456,7.53809006456,CB,B
CB_Pure_1,0.864749436745,2.40905307257,4,3,3.45899774698,3.45899774698,CB,B,0.864749436745,2.40905307257,4,3,3.45899774698,3.45899774698,CB,B
CB_Pure_2,1.64340584409,3.42160717597,6,4,9.86043506451,9.86043506451,CB,B,1.64340584409,3.42160717597,6,4,9.86043506451,9.86043506451,CB,B
CB_Pure_3,2.3286385089,3.49295776335,6,4,13.9718310534,13.9718310534,CB,B,2.3286385089,3.49295776335,6,4,13.9718310534,13.9718310534,CB,B
CB_Pure_4,3.15735548174,3.28902677361,5,3,8.72968539404,8.72968539404,CB,B,3.15735548174,3.28902677361,5,3,8.72968539404,8.72968539404,CB,B
CB_Pure_5,2.21850634542,4.25215641123,3,2,6.65551903625,6.65551903625,CB,B,2.21850634542,4.25215641123,3,2,6.65551903625,6.65551903625,CB,B
CB_Pure_6,1.21155195919,2.90273714866,3,2,3.63465587757,3.63465587757,CB,B,1.21155195919,2.90273714866,3,2,3.63465587757,3.63465587757,CB,B
