WID,TrialName,TrialBase,Response,NormResp,TrialType,ModificationType,RevType,CorrectResp,TrialOrd,Time
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Mixed_9_N,CB_Mixed_9,L,L,CB,Mixed,N,B, 0, 9644
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_4_R,CD_Mixed_4,L,R,CD,Mixed,R,L, 1, 6664
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Mixed_8_R,CW_Mixed_8,R,L,CW,Mixed,R,L, 2, 2270
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Pure_3_N,CB_Pure_3,L,L,CB,Pure,N,B, 3, 2152
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Pure_2_R,CD_Pure_2,L,R,CD,Pure,R,L, 4, 4228
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Mixed_13_N,CW_Mixed_13,L,L,CW,Mixed,N,L, 5, 3297
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Bal_Pure_6_R,Bal_Pure_6,B,B,Bal,Pure,R,B, 6, 2067
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Bal_Mixed_0_R,Bal_Mixed_0,B,B,Bal,Mixed,R,B, 7, 1671
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Weight_Mixed_2_R,Weight_Mixed_2,R,L,Weight,Mixed,R,L, 8, 2772
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Pure_11_N,CB_Pure_11,L,L,CB,Pure,N,B, 9, 5223
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Weight_Mixed_5_N,Weight_Mixed_5,L,L,Weight,Mixed,N,L, 10, 1967
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_2_R,CD_Mixed_2,L,R,CD,Mixed,R,L, 11, 3457
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_11_N,CD_Mixed_11,R,R,CD,Mixed,N,L, 12, 4227
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Dist_Mixed_5_N,Dist_Mixed_5,B,B,Dist,Mixed,N,L, 13, 3647
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_14_R,CD_Mixed_14,L,R,CD,Mixed,R,L, 14, 5171
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Pure_9_N,CD_Pure_9,R,R,CD,Pure,N,L, 15, 9161
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_15_N,CD_Mixed_15,R,R,CD,Mixed,N,L, 16, 3309
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Mixed_3_N,CB_Mixed_3,L,L,CB,Mixed,N,B, 17, 3553
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Bal_Pure_5_N,Bal_Pure_5,B,B,Bal,Pure,N,B, 18, 1458
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Weight_Mixed_0_R,Weight_Mixed_0,L,R,Weight,Mixed,R,L, 19, 4217
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Mixed_0_R,CW_Mixed_0,R,L,CW,Mixed,R,L, 20, 2190
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Pure_8_R,CW_Pure_8,R,L,CW,Pure,R,L, 21, 1896
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Mixed_6_R,CW_Mixed_6,R,L,CW,Mixed,R,L, 22, 2092
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Mixed_7_N,CB_Mixed_7,B,B,CB,Mixed,N,B, 23, 3397
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Pure_12_R,CB_Pure_12,R,L,CB,Pure,R,B, 24, 1942
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Bal_Mixed_5_N,Bal_Mixed_5,B,B,Bal,Mixed,N,B, 25, 1952
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_9_N,CD_Mixed_9,L,L,CD,Mixed,N,L, 26, 2716
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Mixed_1_N,CW_Mixed_1,L,L,CW,Mixed,N,L, 27, 1526
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Pure_4_R,CB_Pure_4,R,L,CB,Pure,R,B, 28, 1823
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Pure_10_R,CD_Pure_10,R,L,CD,Pure,R,L, 29, 1615
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Dist_Mixed_2_R,Dist_Mixed_2,B,B,Dist,Mixed,R,L, 30, 1578
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Bal_Pure_4_R,Bal_Pure_4,B,B,Bal,Pure,R,B, 31, 1343
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Dist_Pure_6_R,Dist_Pure_6,B,B,Dist,Pure,R,L, 32, 1662
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Pure_6_R,CB_Pure_6,R,L,CB,Pure,R,B, 33, 2006
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Weight_Pure_2_R,Weight_Pure_2,R,L,Weight,Pure,R,L, 34, 1622
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Mixed_2_R,CB_Mixed_2,R,L,CB,Mixed,R,B, 35, 1878
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CW_Pure_12_R,CW_Pure_12,R,L,CW,Pure,R,L, 36, 1044
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Pure_7_N,CD_Pure_7,R,R,CD,Pure,N,L, 37, 1869
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CB_Mixed_6_R,CB_Mixed_6,R,L,CB,Mixed,R,B, 38, 1679
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Weight_Pure_0_R,Weight_Pure_0,R,L,Weight,Pure,R,L, 39, 1457
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,CD_Mixed_8_R,CD_Mixed_8,L,R,CD,Mixed,R,L, 40, 2400
A150GMV1YQWWB3:3RGU30DZTBSYZVCRLCOND25Y9E8JM8,Dist_Pure_1_N,Dist_Pure_1,L,L,Dist,Pure,N,L, 41, 1548
