Trial,NetWeight
CW_MixContra_6,-18.0
CW_MixContra_1,2.6
Dist_MixContra_5,-24.0
CW_MixContra_0,2.0
CW_MixContra_3,-26.0
Dist_MixContra_3,-13.2
Weight_MixContra_7,-13.6
Weight_MixContra_6,-17.4
Weight_MixContra_5,-12.2
CW_MixContra_2,-5.2
Weight_MixContra_3,-8.4
Weight_MixContra_2,-7.0
Weight_MixContra_1,-25.4
Weight_MixContra_0,-15.0
CW_MixBal_4,10.0
CW_MixBal_5,4.4
CW_MixBal_6,-8.6
CW_MixBal_7,13.4
CW_MixBal_0,8.6
CW_MixBal_1,0.2
CW_MixBal_2,-10.4
CW_MixBal_3,-10.0
Weight_MixExtend_1,12.8
Dist_MixContra_2,-13.2
Weight_MixExtend_3,23.6
Weight_Same_5,1.0
Dist_MixContra_6,-16.0
Dist_MixExtend_6,10.8
Dist_MixExtend_7,8.0
Dist_MixExtend_4,9.4
Dist_MixExtend_5,14.6
Dist_MixExtend_2,8.0
Dist_MixBal_0,-6.6
Dist_MixExtend_0,8.0
Bal_Symmetric_2,0.0
Weight_MixExtend_0,15.6
Dist_Same_5,0.0
Dist_MixExtend_3,13.2
Dist_MixExtend_1,1.4
Weight_MixContra_4,-13.6
Dist_Same_7,0.0
Dist_Same_6,0.0
Dist_Same_1,0.0
Dist_MixContra_0,-8.0
CB_Blocks_2,23.6
CB_Blocks_3,19.0
CB_Blocks_0,17.0
CB_Blocks_1,22.8
CB_Blocks_6,2.4
CB_Blocks_7,17.0
CB_Blocks_4,22.2
CB_Blocks_5,6.2
CD_MixExtend_1,8.4
CD_MixExtend_0,6.0
CD_MixExtend_3,5.6
CD_MixExtend_2,4.6
CD_MixExtend_5,7.0
CD_MixExtend_4,0.4
CD_MixExtend_7,7.4
CD_MixExtend_6,9.8
Dist_MixBal_1,-8.0
Weight_Same_1,1.0
Weight_Same_0,9.0
Weight_Same_3,2.4
Weight_Same_2,1.0
Dist_Same_4,0.0
Weight_Same_4,9.0
Weight_Same_7,9.0
Weight_Same_6,2.4
Weight_MixBal_6,5.2
Weight_MixBal_7,7.6
Weight_MixBal_4,-1.8
Weight_MixBal_5,-0.4
Weight_MixBal_2,7.6
Weight_MixBal_3,-1.8
Weight_MixBal_0,2.4
Weight_MixBal_1,18.4
CD_Same_2,-2.0
CD_Same_3,-2.4
CD_Same_0,-18.0
CD_Same_1,-1.0
CD_Same_6,-18.0
CD_Same_7,-3.0
CD_Same_4,-1.0
CD_Same_5,-9.0
CW_Same_3,-2.0
CW_Same_2,-1.0
CW_Same_1,4.0
CW_Same_0,4.8
CW_Same_7,36.0
CW_Same_6,-18.0
CW_Same_5,27.0
CW_Same_4,4.8
Bal_Same_5,0.0
CD_MixBal_1,-9.0
Bal_Same_7,0.0
Bal_Same_6,0.0
Bal_Same_1,0.0
Bal_Same_0,0.0
Bal_Same_3,0.0
CB_Same_1,36.0
CD_MixBal_3,-2.4
CD_MixBal_2,-18.0
Dist_Same_2,0.0
CD_MixBal_5,-10.4
Bal_Same_2,0.0
CD_MixBal_4,-15.6
CD_MixBal_7,-19.0
CD_MixBal_6,-16.6
Dist_MixBal_6,-5.2
Bal_Asymmetric_7,24.0
Bal_Asymmetric_6,8.0
Bal_Asymmetric_5,27.8
Bal_Asymmetric_4,9.4
Bal_Asymmetric_3,1.4
Bal_Asymmetric_2,9.4
Bal_Asymmetric_1,21.2
Bal_Asymmetric_0,16.0
Dist_Same_3,0.0
Weight_MixExtend_4,6.2
Weight_MixExtend_5,1.0
Dist_MixContra_7,-16.0
Weight_MixExtend_6,2.4
Dist_MixContra_4,-2.8
Weight_MixExtend_7,17.0
Dist_Same_0,0.0
CB_Same_0,2.4
CD_MixBal_0,-23.2
CB_Same_2,1.0
CB_Same_3,27.0
CB_Same_4,9.0
CB_Same_5,2.0
CB_Same_6,9.0
CB_Same_7,9.0
Dist_MixBal_4,-8.0
Weight_MixExtend_2,9.0
Dist_MixBal_5,-6.6
CB_Dist_2,-7.0
CB_Dist_3,-2.2
CB_Dist_0,-0.4
CB_Dist_1,-4.0
CB_Dist_6,-5.6
CB_Dist_7,-4.2
CB_Dist_4,-15.0
CB_Dist_5,-3.2
Dist_MixBal_7,-9.4
CD_MixContra_2,-10.0
CD_MixContra_3,-10.4
CD_MixContra_0,-27.4
CD_MixContra_1,-10.4
CD_MixContra_6,-21.8
CD_MixContra_7,-15.2
CD_MixContra_4,-23.6
CD_MixContra_5,-18.4
Dist_MixBal_2,-6.6
Bal_Symmetric_7,0.0
Bal_Symmetric_6,0.0
Bal_Symmetric_5,0.0
Bal_Symmetric_4,0.0
Bal_Symmetric_3,0.0
Bal_Same_4,0.0
Bal_Symmetric_1,0.0
Bal_Symmetric_0,0.0
Dist_MixContra_1,-1.4
CW_MixExtend_3,6.0
CW_MixContra_5,3.0
Dist_MixBal_3,-8.0
CW_MixContra_4,2.0
CW_MixExtend_6,19.2
CW_MixExtend_7,20.0
CW_MixExtend_4,19.4
CW_MixExtend_5,13.8
CW_MixExtend_2,7.0
CW_MixContra_7,14.8
CW_MixExtend_0,16.6
CW_MixExtend_1,28.0
