Trial,NetTorque,NetWeight,CenterOfMass
CW_MixContra_6,-1.68729026794,-18.0,-0.0260384300608
CW_MixContra_1,-0.822630916383,2.6,-0.0240535355668
Dist_MixContra_5,-56.6069897804,-24.0,-1.45894303558
CW_MixContra_0,-5.97358613788,2.0,-0.155562139007
CW_MixContra_3,-3.93682893356,-26.0,-0.0787365786712
Dist_MixContra_3,-2.27017252,-13.2,-0.0847079298509
Weight_MixContra_7,-44.772359829,-13.6,-1.2719420406
Weight_MixContra_6,-80.7305796026,-17.4,-1.37765494202
Weight_MixContra_5,-39.0539993582,-12.2,-0.817029275276
CW_MixContra_2,-4.56423686873,-5.2,-0.228211843436
Weight_MixContra_3,-21.0183450506,-8.4,-0.328411641415
Weight_MixContra_2,-32.2136961854,-7.0,-0.7561900513
Weight_MixContra_1,-74.7606787521,-25.4,-1.30245084934
Weight_MixContra_0,-49.0986310732,-15.0,-0.826576280694
CW_MixBal_4,0.0,10.0,0.0
CW_MixBal_5,-0.466650238546,4.4,-0.0149567384149
CW_MixBal_6,-0.652374284153,-8.6,-0.0154591062595
CW_MixBal_7,-0.0595613498099,13.4,-0.00168252400593
CW_MixBal_0,0.305631783242,8.6,0.0116653352382
CW_MixBal_1,-0.521048371977,0.2,-0.00895272116799
CW_MixBal_2,0.155227810456,-10.4,0.0035279047831
CW_MixBal_3,-0.262455262237,-10.0,-0.011120985688
Weight_MixExtend_1,24.0661506695,12.8,0.347776743779
Dist_MixContra_2,-15.4510885506,-13.2,-0.536496130228
Weight_MixExtend_3,90.7323677365,23.6,1.78607023103
Weight_Same_5,4.09657335925,1.0,0.315121027635
Dist_MixContra_6,-24.4366364125,-16.0,-0.848494319878
Dist_MixExtend_6,33.192292404,10.8,1.59578328865
Dist_MixExtend_7,43.1710349696,8.0,2.29633164732
Dist_MixExtend_4,9.04292571726,9.4,0.373674616416
Dist_MixExtend_5,62.3913913215,14.6,1.93762084849
Dist_MixExtend_2,15.1648300384,8.0,0.412087772782
Dist_MixBal_0,-0.281479529324,-6.6,-0.0126792580777
Dist_MixExtend_0,30.6489667477,8.0,1.29868503168
Bal_Symmetric_2,0.0,0.0,0.0
Weight_MixExtend_0,34.5286590702,15.6,0.625519186054
Dist_Same_5,40.7695771271,0.0,0.536441804304
Dist_MixExtend_3,55.357283757,13.2,2.06557028944
Dist_MixExtend_1,4.06153077891,1.4,0.134487774136
Weight_MixContra_4,-57.9438025572,-13.6,-0.862258966625
Dist_Same_7,6.59895144346,0.0,0.824868930433
Dist_Same_6,1.42174885928,0.0,0.142174885928
Dist_Same_1,9.1959187447,0.0,0.158550323185
Dist_MixContra_0,-30.9329199607,-8.0,-0.840568477194
CB_Blocks_2,47.2357486677,23.6,1.02686410147
CB_Blocks_3,15.0540411916,19.0,0.435087895711
CB_Blocks_0,19.7815789683,17.0,0.860068650796
CB_Blocks_1,21.1863004196,22.8,0.350766563239
CB_Blocks_6,6.5070097549,2.4,0.208558004965
CB_Blocks_7,27.7138014961,17.0,0.996899334392
CB_Blocks_4,46.7386874304,22.2,1.15119919779
CB_Blocks_5,7.14473723699,6.2,0.441033162777
CD_MixExtend_1,42.1158036818,8.4,2.28890237401
CD_MixExtend_0,58.9552993114,6.0,1.29287937086
CD_MixExtend_3,15.3851742222,5.6,0.373426558792
CD_MixExtend_2,67.6974017556,4.6,1.68401496904
CD_MixExtend_5,38.3824170109,7.0,1.5602608541
CD_MixExtend_4,11.5137088813,0.4,0.405412284552
CD_MixExtend_7,79.2017070974,7.4,1.2733393424
CD_MixExtend_6,53.943608079,9.8,0.980792874163
Dist_MixBal_1,-7.1054273576e-15,-8.0,-1.93082265152e-16
Weight_Same_1,0.87196198078,1.0,0.0512918812224
Weight_Same_0,5.76842217412,9.0,0.0414994401016
Weight_Same_3,10.7041215935,2.4,0.304094363452
Weight_Same_2,2.655521002,1.0,0.204270846308
Dist_Same_4,1.02240204038,0.0,0.0852001700314
Weight_Same_4,16.2062165324,9.0,0.157341908082
Weight_Same_7,5.74753963869,9.0,0.0558013557154
Weight_Same_6,4.94521161425,2.4,0.193172328682
Weight_MixBal_6,-1.07146251642,5.2,-0.0297628476783
Weight_MixBal_7,0.383169309246,7.6,0.00647245454807
Weight_MixBal_4,0.727473232169,-1.8,0.0110558241971
Weight_MixBal_5,0.273104890617,-0.4,0.00822605092219
Weight_MixBal_2,0.0740039902439,7.6,0.00179621335544
Weight_MixBal_3,1.02924246091,-1.8,0.017931053326
Weight_MixBal_0,0.0377494583443,2.4,0.000432906632389
Weight_MixBal_1,-0.335369992608,18.4,-0.00484638717641
CD_Same_2,5.58356681126,-2.0,0.465297234272
CD_Same_3,5.72954652116,-2.4,0.223810410983
CD_Same_0,48.1075975116,-18.0,0.429532120639
CD_Same_1,1.66621357181,-1.0,0.185134841313
CD_Same_6,37.7561054814,-18.0,0.337108084656
CD_Same_7,7.97944747241,-3.0,0.419970919601
CD_Same_4,1.8917873541,-1.0,0.171980668555
CD_Same_5,22.9128919105,-9.0,0.341983461351
CW_Same_3,1.31227631119,-2.0,0.131227631119
CW_Same_2,2.21099295051,-1.0,0.170076380808
CW_Same_1,7.61687328551,4.0,0.544062377536
CW_Same_0,1.32548031596,4.8,0.0473385827129
CW_Same_7,13.4013037072,36.0,0.231056960469
CW_Same_6,18.5407788178,-18.0,0.197242327849
CW_Same_5,60.0030548008,27.0,0.895567982101
CW_Same_4,4.54147174317,4.8,0.333931745821
Bal_Same_5,0.0,0.0,0.0
CD_MixBal_1,-1.7763568394e-15,-9.0,-5.38289951333e-17
Bal_Same_7,0.0,0.0,0.0
Bal_Same_6,0.0,0.0,0.0
Bal_Same_1,0.0,0.0,0.0
Bal_Same_0,0.0,0.0,0.0
Bal_Same_3,0.0,0.0,0.0
CB_Same_1,0.0,36.0,0.0
CD_MixBal_3,-0.217671097908,-2.4,-0.00655635837073
CD_MixBal_2,-0.346566215872,-18.0,-0.0074052610229
Dist_Same_2,1.12524423801,0.0,0.112524423801
CD_MixBal_5,0.257833248647,-10.4,0.00708333100679
Bal_Same_2,0.0,0.0,0.0
CD_MixBal_4,-0.261939787491,-15.6,-0.00554957176888
CD_MixBal_7,-0.861970701417,-19.0,-0.0114319721673
CD_MixBal_6,-0.932792030182,-16.6,-0.0223155988082
Dist_MixBal_6,-0.465404701825,-5.2,-0.0223752260493
Bal_Asymmetric_7,38.9839854154,24.0,1.00474189215
Bal_Asymmetric_6,11.3617491188,8.0,0.33416909173
