"N","S1","S2","S3","P1","P2","P3"
1,0,0,1,0.19483296713912,0.194954390709152,0.610212642151816
1,0,1,0,0.194963618067416,0.610318277816,0.194718104116671
1,1,0,0,0.610543593733148,0.194773038456416,0.194683367810402
2,0,0,2,0.106800080204812,0.106911546636725,0.78628837315824
2,0,1,1,0.130172497171926,0.435078396506377,0.434749106321746
2,0,2,0,0.106898426091879,0.786373736538254,0.106727837369644
2,1,0,1,0.434856353594091,0.130213136177846,0.434930510228055
2,1,1,0,0.435104377629343,0.434886310658368,0.130009311712283
2,2,0,0,0.786585495768373,0.106726498523711,0.10668800570788
3,0,0,3,0.0565479968876826,0.0566333885375285,0.886818614574792
3,0,1,2,0.0791122987119391,0.284746480147802,0.636141221140262
3,0,2,1,0.0791302110592376,0.636477935201759,0.284391853739005
3,0,3,0,0.0566151076501548,0.886874739424694,0.0565101529251542
3,1,0,2,0.284491583942916,0.0791581692457723,0.636350246811312
3,1,1,1,0.333360509299573,0.333451793489411,0.333187697211022
3,1,2,0,0.284723192971562,0.636292328139501,0.0789844788889383
3,2,0,1,0.636223038996866,0.0791401692056105,0.284636791797525
3,2,1,0,0.63651341403629,0.284499057078546,0.0789875288851672
3,3,0,0,0.887044216032647,0.0564831970518555,0.0564725869155315
4,0,0,4,0.0293323316849001,0.0293912667429654,0.941276401571943
4,0,1,3,0.0452849608500916,0.17625636701941,0.778458672130494
4,0,2,2,0.0528166471853293,0.473816007000844,0.473367345813853
4,0,3,1,0.0453034470982796,0.77874040809894,0.175956144802775
4,0,4,0,0.0293753685994817,0.941310122582596,0.0293145088177328
4,1,0,3,0.176022037936651,0.045326607953707,0.778651354109641
4,1,1,2,0.232264768458205,0.232388962610055,0.535346268931735
4,1,2,1,0.232316580215642,0.535624373376712,0.232059046407641
4,1,3,0,0.176211845525395,0.778583805359416,0.0452043491151866
4,2,0,2,0.473464516898658,0.0528294557871196,0.47370602731423
4,2,1,1,0.535500179224867,0.232342044481454,0.232157776293679
4,2,2,0,0.473787253367458,0.473529868034397,0.0526828785981534
4,3,0,1,0.778506079016184,0.0453063051202916,0.17618761586352
4,3,1,0,0.778777977736531,0.17601653621303,0.0452054860504341
4,4,0,0,0.941432922160939,0.0292828409073897,0.0292842369316442
5,0,0,5,0.0150231744873416,0.0150611675437504,0.969915657968941
5,0,1,4,0.0249055027671343,0.104994263556628,0.870100233676253
5,0,2,3,0.0327452166073704,0.331358625402845,0.635896157989777
5,0,3,2,0.0327480869134681,0.63634644847116,0.330905464615364
5,0,4,1,0.0249205155345166,0.870310881676734,0.104768602788765
5,0,5,0,0.0150495868971987,0.969935107372638,0.0150153057301962
5,1,0,4,0.104805624054225,0.0249387126114145,0.870255663334366
5,1,1,3,0.151139421135932,0.151271334340243,0.69758924452384
5,1,2,2,0.172397039932025,0.414016681382037,0.413586278685941
5,1,3,1,0.151202719003804,0.697818586471722,0.150978694524494
5,1,4,0,0.104947941441711,0.87019078952907,0.0248612690292254
5,2,0,3,0.330981351690508,0.0327582886975241,0.636260359611962
5,2,1,2,0.413818814345737,0.172435982782825,0.413745202871463
5,2,2,1,0.413905208936168,0.413944151786962,0.172150639276896
5,2,3,0,0.331288922568026,0.636065717496604,0.0326453599353638
5,3,0,2,0.635969174758836,0.032751859447277,0.331278965793891
5,3,1,1,0.6976866732674,0.151210211571366,0.151103115161242
5,3,2,0,0.636319278783361,0.331037783867812,0.0326429373488306
5,4,0,1,0.870122242174316,0.0249217495229511,0.104956008302732
5,4,1,0,0.870345777119107,0.104792787788136,0.0248614350927547
5,5,0,0,0.970018399732632,0.0149883723302059,0.0149932279371778
6,0,0,6,0.00763265314102659,0.00765599382214211,0.984711353036923
6,0,1,5,0.0133258151571074,0.0608491409506337,0.925825043892267
6,0,2,4,0.0192438487189621,0.221049048263931,0.759707103017105
6,0,3,3,0.0218603083772915,0.489334889595731,0.488804802026999
6,0,4,2,0.0192461785750342,0.760101252177813,0.220652569247152
6,0,5,1,0.0133370671820332,0.925971777809169,0.0606911550088056
6,0,6,0,0.00764829664705513,0.984722399153691,0.00762930419934588
6,1,0,5,0.0607102131228226,0.0133500869497965,0.925939699927386
6,1,1,4,0.0935762564692227,0.0936966490691483,0.812727094461635
6,1,2,3,0.118715353704144,0.298928449584369,0.58235619671148
6,1,3,2,0.118728910947469,0.582791779270017,0.298479309782507
6,1,4,1,0.0936350875266889,0.812890681442952,0.0934742310303658
6,1,5,0,0.0608102516315771,0.925885919882716,0.0133038284857122
6,2,0,4,0.220701735190639,0.0192554628204354,0.760042801988926
6,2,1,3,0.29868766887917,0.118761440186248,0.582550890934578
6,2,2,2,0.333418757015982,0.333487885448736,0.333093357535291
6,2,3,1,0.298809640825639,0.582705499750072,0.118484859424285
6,2,4,0,0.220965127248995,0.759855215639102,0.0191796571119023
6,3,0,3,0.488871805498087,0.0218642313224899,0.489263963179429
6,3,1,2,0.582550998564811,0.118740586070001,0.298708415365169
6,3,2,1,0.582659413267954,0.298821315948172,0.118519270783855
6,3,3,0,0.489250389926941,0.488978826633681,0.0217707834393853
6,4,0,2,0.75975393910453,0.0192478467951305,0.220998214100348
6,4,1,1,0.81277028884302,0.0936383974612093,0.0935913136957691
6,4,2,0,0.760081805806926,0.220742376971208,0.0191758172218745
6,5,0,1,0.925832849981351,0.0133377089527102,0.0608294410659386
6,5,1,0,0.926001446439328,0.0606945318960715,0.0133040216646004
6,6,0,0,0.984776326688043,0.00760947556307732,0.00761419774886782
7,0,0,7,0.00385771441008917,0.00387154877320072,0.992270736816783
7,0,1,6,0.00699390691520586,0.0345551486117717,0.958450944473023
7,0,2,5,0.0108719605275798,0.142205858572568,0.846922180899868
7,0,3,4,0.0137205519595459,0.357991694621249,0.628287753419222
7,0,4,3,0.0137197225271597,0.62881853582422,0.357461741648638
7,0,5,2,0.0108738270163211,0.847237323562746,0.141888849420951
7,0,6,1,0.00700190731119613,0.958548344237527,0.0344497484512786
7,0,7,0,0.00386670880968784,0.992276988838768,0.00385630235161631
7,1,0,6,0.0344591758728494,0.00701056345158605,0.958530260675565
7,1,1,5,0.0558410462974179,0.0559400908335683,0.888218862869003
7,1,2,4,0.0771501080159642,0.204585771652521,0.718264120331518
7,1,3,3,0.0863986969396204,0.457064584865038,0.456536718195318
7,1,4,2,0.0771641269853574,0.718643535343159,0.204192337671486
7,1,5,1,0.0558902369155117,0.888325141545871,0.055784621538609
7,1,6,0,0.0345259074223556,0.958490247249998,0.00698384532764716
7,2,0,5,0.141917947279597,0.0108813543593158,0.847200698361095
7,2,1,4,0.204338166254776,0.0771966566966318,0.71846517704859
7,2,2,3,0.250317671756352,0.250410766883382,0.499271561360265
7,2,3,2,0.250350640946646,0.499681053471952,0.249968305581402
7,2,4,1,0.204465909920324,0.718556203322233,0.0769778867574404
7,2,5,0,0.142126803122942,0.847038532028855,0.0108346648482098
7,3,0,4,0.357511842466425,0.0137241164618891,0.628764041071705
7,3,1,3,0.456734444334828,0.0864128273082259,0.456852728356933
7,3,2,2,0.499587958344938,0.250371835990877,0.250040205664208
7,3,3,1,0.456908057250684,0.456922187619288,0.0861697551300156
7,3,4,0,0.357873834439228,0.628470555923956,0.0136556096368327
7,4,0,3,0.6283386836694,0.0137214290082431,0.357939887322363
7,4,1,2,0.718395929945413,0.0771692005982508,0.204434869456336
7,4,2,1,0.718509654641567,0.20447098353322,0.077019361825212
7,4,3,0,0.628734980245328,0.357612035943156,0.0136529838115222
7,5,0,2,0.846949412269762,0.0108747850490276,0.142175802681211
7,5,1,1,0.88822609700973,0.05589213587347,0.0558817671168008
7,5,2,0,0.847227714508129,0.141941080323229,0.0108312051686431
7,6,0,1,0.958452371498605,0.00700223223472533,0.0345453962666702
7,6,1,0,0.958571916026102,0.0344438241214154,0.00698425985248351
7,7,0,0,0.992310733293476,0.00384286273299156,0.00384640397352606
8,0,0,8,0.00194317835284831,0.00195115434026753,0.996105667306681
8,0,1,7,0.0036208031218519,0.0193216867265859,0.977057510151574
8,0,2,6,0.00596374310506464,0.0889154161636247,0.905120840731313
8,0,3,5,0.00820937902526979,0.251461856746854,0.740328764227893
8,0,4,4,0.00915903888106522,0.495719119090135,0.495121842028801
8,0,5,3,0.00820799122667089,0.740806858608598,0.250985150164749
8,0,6,2,0.00596540155832525,0.905357044638575,0.0886775538031016
8,0,7,1,0.00362623225144277,0.977119935175684,0.0192538325728847
8,0,8,0,0.0019482229886837,0.996109208539459,0.00194256847165545
8,1,0,7,0.0192585137298127,0.00363169951986604,0.977109786750323
8,1,1,6,0.0324108329992239,0.0324863495866446,0.935102817414137
8,1,2,5,0.0479368741249186,0.134260292634489,0.817802833240601
8,1,3,4,0.0590671842090965,0.339912701087004,0.601020114703894
8,1,4,3,0.0590658341058172,0.60154838383853,0.339385782055646
8,1,5,2,0.0479496422351954,0.818102904600847,0.133947453163966
8,1,6,1,0.0324492115254415,0.935167749709438,0.0323830387651258
8,1,7,0,0.0193011350742777,0.977082304396548,0.00361656052917739
8,2,0,6,0.0886943173212599,0.0059708349055381,0.905334847773207
8,2,1,5,0.134033749668643,0.0479790019600708,0.817987248371292
8,2,2,4,0.177304573809219,0.177409890237583,0.645285535953196
8,2,3,3,0.195724168266974,0.40240239435846,0.40187343737456
8,2,4,2,0.177344772750017,0.645640029656379,0.177015197593602
8,2,5,1,0.134151798097104,0.818023769788338,0.047824432114564
8,2,6,0,0.0888497991469427,0.905206533294543,0.0059436675585183
8,3,0,5,0.25101965906232,0.00821235603416976,0.740767984903523
8,3,1,4,0.339535129477432,0.0590819212918088,0.601382949230751
8,3,2,3,0.40226197245406,0.195753641548197,0.401984385997753
8,3,3,2,0.402318271167313,0.402347744448526,0.19533398438417
8,3,4,1,0.339737396772166,0.601389166709681,0.0588734365181458
8,3,5,0,0.251337580969201,0.74049537246917,0.00816704656164206
