WID,TrialName,Response,TrialType,ShapeType,CorrectResp,TrialOrd,Time
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_1_BC_N,R,Intro,BC,L, 0, 10727
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_2_BC_R,R,Intro,BC,R, 1, 2507
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_2_BC_N,B,Intro,BC,L, 2, 6447
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_3_BB_R,R,Intro,BB,R, 3, 2160
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_3_CB_N,L,Intro,CB,L, 4, 4221
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_3_CC_R,R,Intro,CC,R, 5, 1933
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_3_CB_R,R,Intro,CB,R, 6, 2430
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_2_BB_N,L,Intro,BB,L, 7, 2489
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_1_BB_N,B,Intro,BB,L, 8, 3519
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_1_CC_N,R,Intro,CC,L, 9, 4905
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_2_CC_N,L,Intro,CC,L, 10, 2820
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Intro_1_CB_N,B,Intro,CB,L, 11, 2810
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_5_BC_N,L,Dist,BC,L, 0, 5704
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_2_BB_N,R,CB,BB,B, 1, 1945
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_3_CC_R,L,CB,CC,B, 2, 4198
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_2_CB_R,L,CB,CB,B, 3, 2471
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_5_CC_R,B,CB,CC,B, 4, 8350
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_3_CC_R,R,CD,CC,R, 5, 1687
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_4_CC_N,L,Dist,CC,L, 6, 3284
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Bal_2_BC_R,B,Bal,BC,B, 7, 3269
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_4_CB_R,R,Dist,CB,R, 8, 2097
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_7_BB_R,L,CB,BB,B, 9, 1547
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_1_CB_N,L,CD,CB,L, 10, 1957
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_4_BC_R,L,CB,BC,B, 11, 3043
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Weight_1_BC_N,B,Weight,BC,L, 12, 3695
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_6_CB_R,B,CW,CB,R, 13, 5505
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_7_BC_N,L,CD,BC,L, 14, 4110
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_3_BC_N,R,CW,BC,L, 15, 2053
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_1_CC_R,R,Dist,CC,R, 16, 1500
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Bal_5_CB_N,B,Bal,CB,B, 17, 1983
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Weight_1_BB_R,R,Weight,BB,R, 18, 4506
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_6_CC_N,B,CD,CC,L, 19, 6842
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_1_BB_R,L,CW,BB,R, 20, 4651
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Weight_2_BC_R,B,Weight,BC,R, 21, 2146
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_2_BC_R,L,CW,BC,R, 22, 1850
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_1_CB_N,R,CB,CB,B, 23, 2298
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_4_BC_R,R,CW,BC,R, 24, 5025
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_7_BB_R,R,CD,BB,R, 25, 5650
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_1_BB_R,L,CB,BB,B, 26, 2612
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CB_2_CC_N,B,CB,CC,B, 27, 3820
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_2_CB_R,B,CW,CB,R, 28, 8067
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_1_BC_N,L,Dist,BC,L, 29, 3009
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Dist_5_CC_R,R,Dist,CC,R, 30, 3660
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_6_CC_N,L,CW,CC,L, 31, 10540
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_3_CB_N,B,CW,CB,L, 32, 3073
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CD_2_BB_N,L,CD,BB,L, 33, 4240
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,Weight_3_BC_N,B,Weight,BC,L, 34, 3556
A10DEO061A6L3O:33CUSNVVNOWUUPE407HDJUVPXQV883,CW_6_BC_R,L,CW,BC,R, 35, 3531
