TrialName,Falls,Block_L,Block_R,Mass_L,Mass_R,Dist_L,Dist_R,Torque_L,Torque_R,MassDist_L,MassDist_R
Bal_1_BB_N,B,3,3,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_BB_R,B,3,3,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_BC_N,B,3,2,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_BC_R,B,3,5,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_CB_N,B,5,3,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_CB_R,B,2,3,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_CC_N,B,5,2,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_1_CC_R,B,2,5,3,3,2,2,4,4,"[2, 1, 0, 0]","[2, 1, 0, 0]"
Bal_2_BB_N,B,6,6,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_BB_R,B,6,6,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_BC_N,B,6,9,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_BC_R,B,6,4,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_CB_N,B,4,6,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_CB_R,B,9,6,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_CC_N,B,4,9,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_2_CC_R,B,9,4,6,6,4,4,18,18,"[0, 3, 0, 3]","[0, 3, 0, 3]"
Bal_3_BB_N,B,3,3,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_BB_R,B,3,3,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_BC_N,B,3,4,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_BC_R,B,3,1,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_CB_N,B,1,3,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_CB_R,B,4,3,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_CC_N,B,1,4,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_3_CC_R,B,4,1,3,3,4,4,12,12,"[0, 0, 0, 3]","[0, 0, 0, 3]"
Bal_4_BB_N,B,5,5,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_BB_R,B,5,5,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_BC_N,B,5,3,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_BC_R,B,5,10,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_CB_N,B,10,5,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_CB_R,B,3,5,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_CC_N,B,10,3,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_4_CC_R,B,3,10,5,5,4,4,13,13,"[1, 2, 0, 2]","[1, 2, 0, 2]"
Bal_5_BB_N,B,4,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_BB_R,B,4,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_BC_N,B,4,13,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_BC_R,B,4,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_CB_N,B,4,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_CB_R,B,13,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_CC_N,B,4,13,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Bal_5_CC_R,B,13,4,4,4,4,4,10,10,"[1, 1, 1, 1]","[1, 1, 1, 1]"
Weight_1_BB_N,L,4,3,4,3,3,3,6,5,"[3, 0, 1, 0]","[2, 0, 1, 0]"
Weight_1_BB_R,R,3,4,3,4,3,3,5,6,"[2, 0, 1, 0]","[3, 0, 1, 0]"
Weight_1_BC_N,L,4,2,4,3,3,3,6,5,"[3, 0, 1, 0]","[2, 0, 1, 0]"
Weight_1_BC_R,R,3,6,3,4,3,3,5,6,"[2, 0, 1, 0]","[3, 0, 1, 0]"
Weight_1_CB_N,L,6,3,4,3,3,3,6,5,"[3, 0, 1, 0]","[2, 0, 1, 0]"
Weight_1_CB_R,R,2,4,3,4,3,3,5,6,"[2, 0, 1, 0]","[3, 0, 1, 0]"
Weight_1_CC_N,L,6,2,4,3,3,3,6,5,"[3, 0, 1, 0]","[2, 0, 1, 0]"
Weight_1_CC_R,R,2,6,3,4,3,3,5,6,"[2, 0, 1, 0]","[3, 0, 1, 0]"
Weight_2_BB_N,L,5,4,5,4,4,4,16,12,"[0, 2, 0, 3]","[0, 2, 0, 2]"
Weight_2_BB_R,R,4,5,4,5,4,4,12,16,"[0, 2, 0, 2]","[0, 2, 0, 3]"
Weight_2_BC_N,L,5,5,5,4,4,4,16,12,"[0, 2, 0, 3]","[0, 2, 0, 2]"
Weight_2_BC_R,R,4,3,4,5,4,4,12,16,"[0, 2, 0, 2]","[0, 2, 0, 3]"
Weight_2_CB_N,L,3,4,5,4,4,4,16,12,"[0, 2, 0, 3]","[0, 2, 0, 2]"
Weight_2_CB_R,R,5,5,4,5,4,4,12,16,"[0, 2, 0, 2]","[0, 2, 0, 3]"
Weight_2_CC_N,L,3,5,5,4,4,4,16,12,"[0, 2, 0, 3]","[0, 2, 0, 2]"
Weight_2_CC_R,R,5,3,4,5,4,4,12,16,"[0, 2, 0, 2]","[0, 2, 0, 3]"
Weight_3_BB_N,L,6,5,6,5,4,4,12,11,"[4, 0, 0, 2]","[3, 0, 0, 2]"
Weight_3_BB_R,R,5,6,5,6,4,4,11,12,"[3, 0, 0, 2]","[4, 0, 0, 2]"
Weight_3_BC_N,L,6,4,6,5,4,4,12,11,"[4, 0, 0, 2]","[3, 0, 0, 2]"
Weight_3_BC_R,R,5,8,5,6,4,4,11,12,"[3, 0, 0, 2]","[4, 0, 0, 2]"
Weight_3_CB_N,L,8,5,6,5,4,4,12,11,"[4, 0, 0, 2]","[3, 0, 0, 2]"
Weight_3_CB_R,R,4,6,5,6,4,4,11,12,"[3, 0, 0, 2]","[4, 0, 0, 2]"
Weight_3_CC_N,L,8,4,6,5,4,4,12,11,"[4, 0, 0, 2]","[3, 0, 0, 2]"
Weight_3_CC_R,R,4,8,5,6,4,4,11,12,"[3, 0, 0, 2]","[4, 0, 0, 2]"
Weight_4_BB_N,L,5,4,5,4,4,4,17,13,"[1, 0, 0, 4]","[1, 0, 0, 3]"
Weight_4_BB_R,R,4,5,4,5,4,4,13,17,"[1, 0, 0, 3]","[1, 0, 0, 4]"
Weight_4_BC_N,L,5,6,5,4,4,4,17,13,"[1, 0, 0, 4]","[1, 0, 0, 3]"
Weight_4_BC_R,R,4,4,4,5,4,4,13,17,"[1, 0, 0, 3]","[1, 0, 0, 4]"
Weight_4_CB_N,L,4,4,5,4,4,4,17,13,"[1, 0, 0, 4]","[1, 0, 0, 3]"
Weight_4_CB_R,R,6,5,4,5,4,4,13,17,"[1, 0, 0, 3]","[1, 0, 0, 4]"
Weight_4_CC_N,L,4,6,5,4,4,4,17,13,"[1, 0, 0, 4]","[1, 0, 0, 3]"
Weight_4_CC_R,R,6,4,4,5,4,4,13,17,"[1, 0, 0, 3]","[1, 0, 0, 4]"
Weight_5_BB_N,L,4,3,4,3,4,4,10,9,"[2, 0, 0, 2]","[1, 0, 0, 2]"
Weight_5_BB_R,R,3,4,3,4,4,4,9,10,"[1, 0, 0, 2]","[2, 0, 0, 2]"
Weight_5_BC_N,L,4,9,4,3,4,4,10,9,"[2, 0, 0, 2]","[1, 0, 0, 2]"
Weight_5_BC_R,R,3,2,3,4,4,4,9,10,"[1, 0, 0, 2]","[2, 0, 0, 2]"
Weight_5_CB_N,L,2,3,4,3,4,4,10,9,"[2, 0, 0, 2]","[1, 0, 0, 2]"
Weight_5_CB_R,R,9,4,3,4,4,4,9,10,"[1, 0, 0, 2]","[2, 0, 0, 2]"
Weight_5_CC_N,L,2,9,4,3,4,4,10,9,"[2, 0, 0, 2]","[1, 0, 0, 2]"
Weight_5_CC_R,R,9,2,3,4,4,4,9,10,"[1, 0, 0, 2]","[2, 0, 0, 2]"
Dist_1_BB_N,L,3,3,3,3,3,2,9,6,"[0, 0, 3, 0]","[0, 3, 0, 0]"
Dist_1_BB_R,R,3,3,3,3,2,3,6,9,"[0, 3, 0, 0]","[0, 0, 3, 0]"
Dist_1_BC_N,L,3,2,3,3,3,2,9,6,"[0, 0, 3, 0]","[0, 3, 0, 0]"
Dist_1_BC_R,R,3,4,3,3,2,3,6,9,"[0, 3, 0, 0]","[0, 0, 3, 0]"
Dist_1_CB_N,L,4,3,3,3,3,2,9,6,"[0, 0, 3, 0]","[0, 3, 0, 0]"
Dist_1_CB_R,R,2,3,3,3,2,3,6,9,"[0, 3, 0, 0]","[0, 0, 3, 0]"
Dist_1_CC_N,L,4,2,3,3,3,2,9,6,"[0, 0, 3, 0]","[0, 3, 0, 0]"
Dist_1_CC_R,R,2,4,3,3,2,3,6,9,"[0, 3, 0, 0]","[0, 0, 3, 0]"
Dist_2_BB_N,L,2,2,2,2,4,1,8,2,"[0, 0, 0, 2]","[2, 0, 0, 0]"
Dist_2_BB_R,R,2,2,2,2,1,4,2,8,"[2, 0, 0, 0]","[0, 0, 0, 2]"
Dist_2_BC_N,L,2,4,2,2,4,1,8,2,"[0, 0, 0, 2]","[2, 0, 0, 0]"
Dist_2_BC_R,R,2,1,2,2,1,4,2,8,"[2, 0, 0, 0]","[0, 0, 0, 2]"
Dist_2_CB_N,L,1,2,2,2,4,1,8,2,"[0, 0, 0, 2]","[2, 0, 0, 0]"
Dist_2_CB_R,R,4,2,2,2,1,4,2,8,"[2, 0, 0, 0]","[0, 0, 0, 2]"
Dist_2_CC_N,L,1,4,2,2,4,1,8,2,"[0, 0, 0, 2]","[2, 0, 0, 0]"
Dist_2_CC_R,R,4,1,2,2,1,4,2,8,"[2, 0, 0, 0]","[0, 0, 0, 2]"
Dist_3_BB_N,L,4,4,4,4,4,3,10,8,"[2, 0, 0, 2]","[2, 0, 2, 0]"
Dist_3_BB_R,R,4,4,4,4,3,4,8,10,"[2, 0, 2, 0]","[2, 0, 0, 2]"
Dist_3_BC_N,L,4,3,4,4,4,3,10,8,"[2, 0, 0, 2]","[2, 0, 2, 0]"
Dist_3_BC_R,R,4,8,4,4,3,4,8,10,"[2, 0, 2, 0]","[2, 0, 0, 2]"
Dist_3_CB_N,L,8,4,4,4,4,3,10,8,"[2, 0, 0, 2]","[2, 0, 2, 0]"
Dist_3_CB_R,R,3,4,4,4,3,4,8,10,"[2, 0, 2, 0]","[2, 0, 0, 2]"
Dist_3_CC_N,L,8,3,4,4,4,3,10,8,"[2, 0, 0, 2]","[2, 0, 2, 0]"
Dist_3_CC_R,R,3,8,4,4,3,4,8,10,"[2, 0, 2, 0]","[2, 0, 0, 2]"
Dist_4_BB_N,L,5,5,5,5,4,2,8,6,"[4, 0, 0, 1]","[4, 1, 0, 0]"
