Trial,Classification,TypeByConfiguration,TypeByResults,CenterOfMass,BalancePos,BalanceWidth,Falls
Centered_D_0_0_0.25,Centered,D,Bal,-0.0665476277169,0.0,0.25,B
Centered_D_0_0_0.5,Centered,D,Bal,-0.0665476277169,0.0,0.5,B
Centered_D_0_0_1.0,Centered,D,Bal,-0.0665476277169,0.0,1.0,B
Centered_D_0_0_2.0,Centered,D,Bal,-0.0665476277169,0.0,2.0,B
Uncentered_D_0_0_0.25,Uncentered,D,Bal,-1.19171720133,-1.1498454286,0.25,B
Uncentered_D_0_0_0.5,Uncentered,D,Bal,-1.19171720133,-1.1498454286,0.5,B
Uncentered_D_0_0_1.0,Uncentered,D,Bal,-1.19171720133,-1.1498454286,1.0,B
Uncentered_D_0_0_2.0,Uncentered,D,Bal,-1.19171720133,-1.1498454286,2.0,B
Centered_D_1_0_0.25,Centered,D,D,-0.238682531945,0.0,0.25,L
Centered_D_1_0_0.5,Centered,D,Bal,-0.238682531945,0.0,0.5,B
Centered_D_1_0_1.0,Centered,D,Bal,-0.238682531945,0.0,1.0,B
Centered_D_1_0_2.0,Centered,D,Bal,-0.238682531945,0.0,2.0,B
Uncentered_D_1_0_0.25,Uncentered,D,D,-1.29823320665,-1.10429958676,0.25,L
Uncentered_D_1_0_0.5,Uncentered,D,Bal,-1.29823320665,-1.10429958676,0.5,B
Uncentered_D_1_0_1.0,Uncentered,D,Bal,-1.29823320665,-1.10429958676,1.0,B
Uncentered_D_1_0_2.0,Uncentered,D,Bal,-1.29823320665,-1.10429958676,2.0,B
Centered_D_2_0_0.25,Centered,D,D,-0.279221380851,0.0,0.25,L
Centered_D_2_0_0.5,Centered,D,D,-0.279221380851,0.0,0.5,L
Centered_D_2_0_1.0,Centered,D,Bal,-0.279221380851,0.0,1.0,B
Centered_D_2_0_2.0,Centered,D,Bal,-0.279221380851,0.0,2.0,B
Uncentered_D_2_0_0.25,Uncentered,D,D,0.571666562487,0.925612201043,0.25,L
