Trial,Type,Materials,BalPos,BalSize,PropShapes,TotStacks,TotMass,CenterOfMass,Falls
B_pure_centered_0.25_0_blocks,B,pure,0,0.25,0.0,2,18.0,0.0,B
B_pure_centered_0.25_0_mixed,B,pure,0,0.25,0.5,2,18.0,0.0,B
D_pure_centered_0.25_0_blocks,D,pure,0,0.25,0.0,4,72.0,-0.171628635219,L
D_pure_centered_0.25_0_mixed,D,pure,0,0.25,0.25,4,72.0,-0.171628635219,L
W_pure_centered_0.25_0_blocks,W,pure,0,0.25,0.0,2,3.0,-0.625052468549,L
W_pure_centered_0.25_0_mixed,W,pure,0,0.25,0.5,2,3.0,-0.625052468549,L
CB_pure_centered_0.25_0_blocks,CB,pure,0,0.25,0.0,3,45.0,0.0,B
CB_pure_centered_0.25_0_mixed,CB,pure,0,0.25,0.666666666667,3,45.0,0.0,B
CD_pure_centered_0.25_0_blocks,CD,pure,0,0.25,0.0,3,54.0,-0.65828228666,L
CD_pure_centered_0.25_0_mixed,CD,pure,0,0.25,0.666666666667,3,54.0,-0.65828228666,L
CW_pure_centered_0.25_0_blocks,CW,pure,0,0.25,0.0,3,7.0,-0.213991247929,L
CW_pure_centered_0.25_0_mixed,CW,pure,0,0.25,0.333333333333,3,7.0,-0.213991247929,L
B_pure_centered_1.0_0_blocks,B,pure,0,1.0,0.0,2,2.0,0.0,B
B_pure_centered_1.0_0_mixed,B,pure,0,1.0,0.5,2,2.0,0.0,B
D_pure_centered_1.0_0_blocks,D,pure,0,1.0,0.0,2,15.0,-1.13329664769,L
D_pure_centered_1.0_0_mixed,D,pure,0,1.0,0.5,2,15.0,-1.13329664769,L
W_pure_centered_1.0_0_blocks,W,pure,0,1.0,0.0,2,7.5,-0.67076187158,L
W_pure_centered_1.0_0_mixed,W,pure,0,1.0,0.5,2,7.5,-0.67076187158,L
CB_pure_centered_1.0_0_blocks,CB,pure,0,1.0,0.0,4,30.0,-2.08983157577e-16,B
CB_pure_centered_1.0_0_mixed,CB,pure,0,1.0,0.25,4,30.0,-2.08983157577e-16,B
CD_pure_centered_1.0_0_blocks,CD,pure,0,1.0,0.0,3,27.5,-0.580450078798,L
CD_pure_centered_1.0_0_mixed,CD,pure,0,1.0,0.333333333333,3,27.5,-0.580450078798,L
CW_pure_centered_1.0_0_blocks,CW,pure,0,1.0,0.0,4,8.0,-0.589091409017,L
CW_pure_centered_1.0_0_mixed,CW,pure,0,1.0,0.75,4,8.0,-0.589091409017,L
B_pure_uncentered_0.25_0_blocks,B,pure,0.669821394418,0.25,0.0,4,30.0,0.669821394418,B
B_pure_uncentered_0.25_0_mixed,B,pure,0.669821394418,0.25,0.5,4,30.0,0.669821394418,B
D_pure_uncentered_0.25_0_blocks,D,pure,1.19854862552,0.25,0.0,4,8.0,0.434145821389,L
D_pure_uncentered_0.25_0_mixed,D,pure,1.19854862552,0.25,0.5,4,8.0,0.434145821389,L
W_pure_uncentered_0.25_0_blocks,W,pure,0.218932551744,0.25,0.0,4,32.5,0.0449224226106,L
W_pure_uncentered_0.25_0_mixed,W,pure,0.218932551744,0.25,0.75,4,32.5,0.0449224226106,L
CB_pure_uncentered_0.25_0_blocks,CB,pure,-0.419166405353,0.25,0.0,5,8.0,-0.419166405353,B
CB_pure_uncentered_0.25_0_mixed,CB,pure,-0.419166405353,0.25,0.2,5,8.0,-0.419166405353,B
CD_pure_uncentered_0.25_0_blocks,CD,pure,-0.189332192263,0.25,0.0,3,17.5,-0.556043133258,L
CD_pure_uncentered_0.25_0_mixed,CD,pure,-0.189332192263,0.25,0.333333333333,3,17.5,-0.556043133258,L
CW_pure_uncentered_0.25_0_blocks,CW,pure,0.160815631648,0.25,0.0,4,22.5,-0.127960695734,L
CW_pure_uncentered_0.25_0_mixed,CW,pure,0.160815631648,0.25,0.5,4,22.5,-0.127960695734,L
B_pure_uncentered_1.0_0_blocks,B,pure,1.16192798841,1.0,0.0,6,90.0,1.16192798841,B
B_pure_uncentered_1.0_0_mixed,B,pure,1.16192798841,1.0,0.666666666667,6,90.0,1.16192798841,B
D_pure_uncentered_1.0_0_blocks,D,pure,1.96001077573,1.0,0.0,2,4.0,0.677608191699,L
D_pure_uncentered_1.0_0_mixed,D,pure,1.96001077573,1.0,0.5,2,4.0,0.677608191699,L
W_pure_uncentered_1.0_0_blocks,W,pure,1.17674683349,1.0,0.0,2,7.0,0.554052454688,L
W_pure_uncentered_1.0_0_mixed,W,pure,1.17674683349,1.0,0.5,2,7.0,0.554052454688,L
CB_pure_uncentered_1.0_0_blocks,CB,pure,0.326569093701,1.0,0.0,3,5.0,0.326569093701,B
CB_pure_uncentered_1.0_0_mixed,CB,pure,0.326569093701,1.0,0.666666666667,3,5.0,0.326569093701,B
CD_pure_uncentered_1.0_0_blocks,CD,pure,0.577545841173,1.0,0.0,3,45.0,-0.188886266273,L
CD_pure_uncentered_1.0_0_mixed,CD,pure,0.577545841173,1.0,0.666666666667,3,45.0,-0.188886266273,L
CW_pure_uncentered_1.0_0_blocks,CW,pure,0.273281768188,1.0,0.0,4,45.0,-0.277949290825,L
CW_pure_uncentered_1.0_0_mixed,CW,pure,0.273281768188,1.0,0.5,4,45.0,-0.277949290825,L
B_mixed_centered_0.25_0_blocks,B,mixed,0,0.25,0.0,4,56.0,0.0,B
B_mixed_centered_0.25_0_mixed,B,mixed,0,0.25,0.25,4,56.0,0.0,B
D_mixed_centered_0.25_0_blocks,D,mixed,0,0.25,0.0,6,33.0,-0.236271306928,L
D_mixed_centered_0.25_0_mixed,D,mixed,0,0.25,0.5,6,33.0,-0.236271306928,L
W_mixed_centered_0.25_0_blocks,W,mixed,0,0.25,0.0,4,21.0,-0.169185172565,L
W_mixed_centered_0.25_0_mixed,W,mixed,0,0.25,0.5,4,21.0,-0.169185172565,L
CB_mixed_centered_0.25_0_blocks,CB,mixed,0,0.25,0.0,4,21.5,0.0,B
CB_mixed_centered_0.25_0_mixed,CB,mixed,0,0.25,0.25,4,21.5,0.0,B
CD_mixed_centered_0.25_0_blocks,CD,mixed,0,0.25,0.0,3,69.0,-0.305470815862,L
CD_mixed_centered_0.25_0_mixed,CD,mixed,0,0.25,0.666666666667,3,69.0,-0.305470815862,L
CW_mixed_centered_0.25_0_blocks,CW,mixed,0,0.25,0.0,5,32.5,-0.146067338851,L
CW_mixed_centered_0.25_0_mixed,CW,mixed,0,0.25,0.8,5,32.5,-0.146067338851,L
B_mixed_centered_1.0_0_blocks,B,mixed,0,1.0,0.0,6,11.0,0.0,B
B_mixed_centered_1.0_0_mixed,B,mixed,0,1.0,0.666666666667,6,11.0,0.0,B
D_mixed_centered_1.0_0_blocks,D,mixed,0,1.0,0.0,4,64.0,-0.80668572966,L
D_mixed_centered_1.0_0_mixed,D,mixed,0,1.0,0.5,4,64.0,-0.80668572966,L
W_mixed_centered_1.0_0_blocks,W,mixed,0,1.0,0.0,6,39.0,-0.845189355553,L
W_mixed_centered_1.0_0_mixed,W,mixed,0,1.0,0.5,6,39.0,-0.845189355553,L
CB_mixed_centered_1.0_0_blocks,CB,mixed,0,1.0,0.0,4,35.5,0.0,B
CB_mixed_centered_1.0_0_mixed,CB,mixed,0,1.0,0.25,4,35.5,0.0,B
CD_mixed_centered_1.0_0_blocks,CD,mixed,0,1.0,0.0,5,28.5,-0.531337263122,L
CD_mixed_centered_1.0_0_mixed,CD,mixed,0,1.0,0.4,5,28.5,-0.531337263122,L
CW_mixed_centered_1.0_0_blocks,CW,mixed,0,1.0,0.0,2,9.5,-1.05215249778,L
CW_mixed_centered_1.0_0_mixed,CW,mixed,0,1.0,0.5,2,9.5,-1.05215249778,L
B_mixed_uncentered_0.25_0_blocks,B,mixed,0.514407176953,0.25,0.0,4,17.0,0.514407176953,B
B_mixed_uncentered_0.25_0_mixed,B,mixed,0.514407176953,0.25,0.75,4,17.0,0.514407176953,B
D_mixed_uncentered_0.25_0_blocks,D,mixed,0.0523370183312,0.25,0.0,4,9.0,-0.112180000783,L
D_mixed_uncentered_0.25_0_mixed,D,mixed,0.0523370183312,0.25,0.5,4,9.0,-0.112180000783,L
W_mixed_uncentered_0.25_0_blocks,W,mixed,0.761956794139,0.25,0.0,6,48.5,0.622441404447,L
W_mixed_uncentered_0.25_0_mixed,W,mixed,0.761956794139,0.25,0.5,6,48.5,0.622441404447,L
CB_mixed_uncentered_0.25_0_blocks,CB,mixed,-1.21333240131,0.25,0.0,4,24.0,-1.21333240131,B
CB_mixed_uncentered_0.25_0_mixed,CB,mixed,-1.21333240131,0.25,0.5,4,24.0,-1.21333240131,B
CD_mixed_uncentered_0.25_0_blocks,CD,mixed,0.589765247954,0.25,0.0,2,51.0,0.387826891203,L
CD_mixed_uncentered_0.25_0_mixed,CD,mixed,0.589765247954,0.25,0.5,2,51.0,0.387826891203,L
CW_mixed_uncentered_0.25_0_blocks,CW,mixed,1.12043830526,0.25,0.0,5,54.5,0.885050334039,L
CW_mixed_uncentered_0.25_0_mixed,CW,mixed,1.12043830526,0.25,0.4,5,54.5,0.885050334039,L
B_mixed_uncentered_1.0_0_blocks,B,mixed,-0.542691276899,1.0,0.0,4,77.0,-0.542691276899,B
B_mixed_uncentered_1.0_0_mixed,B,mixed,-0.542691276899,1.0,0.5,4,77.0,-0.542691276899,B
D_mixed_uncentered_1.0_0_blocks,D,mixed,1.36721695006,1.0,0.0,4,94.0,0.294723370969,L
D_mixed_uncentered_1.0_0_mixed,D,mixed,1.36721695006,1.0,0.75,4,94.0,0.294723370969,L
W_mixed_uncentered_1.0_0_blocks,W,mixed,0.701292022939,1.0,0.0,4,13.5,0.0737878012306,L
W_mixed_uncentered_1.0_0_mixed,W,mixed,0.701292022939,1.0,0.75,4,13.5,0.0737878012306,L
CB_mixed_uncentered_1.0_0_blocks,CB,mixed,-1.36821622378,1.0,0.0,5,28.0,-1.36821622378,B
CB_mixed_uncentered_1.0_0_mixed,CB,mixed,-1.36821622378,1.0,0.8,5,28.0,-1.36821622378,B
CD_mixed_uncentered_1.0_0_blocks,CD,mixed,0.959693680939,1.0,0.0,4,23.5,0.210581957196,L
