Trial,Type,DiffAmt,LeftDist,LeftWeight,LeftTorque,RightDist,RightWeight,RightTorque,TorqueDiff
Dist_1_0,Dist,1,3.33333333333,1,3.33333333333,2.66666666667,1,2.66666666667,0.666666666667
Dist_2_0,Dist,2,2.66666666667,3,8.0,2.0,3,6.0,2.0
Dist_3_0,Dist,3,4.0,4,16.0,2.0,4,8.0,8.0
Dist_4_0,Dist,4,4.0,6,24.0,1.33333333333,6,8.0,16.0
Weight_1_0,Weight,1,0.666666666667,6,4.0,0.666666666667,5,3.33333333333,0.666666666667
Weight_2_0,Weight,2,2.0,6,12.0,2.0,5,10.0,2.0
Weight_3_0,Weight,3,4.0,5,20.0,4.0,3,12.0,8.0
Weight_4_0,Weight,4,3.33333333333,6,20.0,3.33333333333,1,3.33333333333,16.6666666667
CD_1_0,CD,1,2.0,2,4.0,0.666666666667,5,3.33333333333,0.666666666667
CD_2_0,CD,2,4.0,2,8.0,2.0,3,6.0,2.0
CD_3_0,CD,3,3.33333333333,2,6.66666666667,0.666666666667,5,3.33333333333,3.33333333333
CD_4_0,CD,4,4.0,4,16.0,0.666666666667,6,4.0,12.0
CW_1_0,CW,1,0.666666666667,6,4.0,3.33333333333,1,3.33333333333,0.666666666667
CW_2_0,CW,2,2.0,5,10.0,4.0,2,8.0,2.0
CW_3_0,CW,3,2.0,3,6.0,2.66666666667,1,2.66666666667,3.33333333333
CW_4_0,CW,4,3.33333333333,5,16.6666666667,4.0,1,4.0,12.6666666667
Bal_0,Bal,0,3.33333333333,6,20.0,3.33333333333,6,20.0,0.0
CB_0,CB,0,2.66666666667,6,16.0,4.0,4,16.0,0.0
Dist_1_1,Dist,1,1.33333333333,1,1.33333333333,0.666666666667,1,0.666666666667,0.666666666667
Dist_2_1,Dist,2,3.33333333333,3,10.0,2.66666666667,3,8.0,2.0
Dist_3_1,Dist,3,2.66666666667,4,10.6666666667,0.666666666667,4,2.66666666667,8.0
Dist_4_1,Dist,4,4.0,5,20.0,0.666666666667,5,3.33333333333,16.6666666667
Weight_1_1,Weight,1,0.666666666667,6,4.0,0.666666666667,5,3.33333333333,0.666666666667
Weight_2_1,Weight,2,2.0,4,8.0,2.0,3,6.0,2.0
Weight_3_1,Weight,3,2.66666666667,4,10.6666666667,2.66666666667,1,2.66666666667,8.0
