Trial,Type,Materials,Number,NetBlocks,NetMass,NetTorque,CenterOfMass,Falls
WW_Pure_0,WW,Pure,0,-2,-18.0,-40.251424292,-0.693990073999,R
WW_Mixed_0,WW,Mixed,0,-2,4.5,17.6026921036,0.782341871272,L
WB_Pure_0,WB,Pure,0,0,0.0,0.0,0.0,B
WB_Mixed_0,WB,Mixed,0,0,3.0,8.18763250645,0.22743423629,L
CWCD_Pure_0,CWCD,Pure,0,1,1.0,-1.95685189043,-0.130456792695,R
CWCD_Mixed_0,CWCD,Mixed,0,1,17.0,11.7689584833,0.178317552778,L
CBO_Pure_0,CBO,Pure,0,2,2.0,-1.78749237609,-0.148957698008,R
CBO_Mixed_0,CBO,Mixed,0,2,10.0,0.0,0.0,B
CWCB_Pure_0,CWCB,Pure,0,2,18.0,0.0,0.0,B
CWCB_Mixed_0,CWCB,Mixed,0,2,10.0,9.0855070162,0.232961718364,L
WW_Pure_1,WW,Pure,1,-3,-27.0,-97.4615958447,-0.805467734254,R
WW_Mixed_1,WW,Mixed,1,-3,8.5,30.6823542474,0.705341476952,L
WB_Pure_1,WB,Pure,1,0,0.0,0.0,0.0,B
WB_Mixed_1,WB,Mixed,1,0,6.5,19.6402920559,0.484945482861,L
CWCD_Pure_1,CWCD,Pure,1,1,1.0,-3.08630748127,-0.181547498898,R
CWCD_Mixed_1,CWCD,Mixed,1,1,15.5,7.13538289001,0.126289962655,L
CBO_Pure_1,CBO,Pure,1,1,1.0,1.6238984739,0.180433163767,L
CBO_Mixed_1,CBO,Mixed,1,1,4.0,7.1054273576e-15,2.53765262771e-16,B
CWCB_Pure_1,CWCB,Pure,1,2,5.0,0.0,0.0,B
CWCB_Mixed_1,CWCB,Mixed,1,2,11.5,10.5680156104,0.248659190834,L
WW_Pure_2,WW,Pure,2,-5,-5.0,-12.1615145595,-0.528761502586,R
WW_Mixed_2,WW,Mixed,2,-5,9.5,14.4315622979,0.157721992326,L
WB_Pure_2,WB,Pure,2,0,0.0,0.0,0.0,B
WB_Mixed_2,WB,Mixed,2,0,8.0,17.0221567561,0.283702612602,L
CWCD_Pure_2,CWCD,Pure,2,1,9.0,-26.5771802964,-0.396674332782,R
CWCD_Mixed_2,CWCD,Mixed,2,1,10.5,5.98255976495,0.163905746985,L
CBO_Pure_2,CBO,Pure,2,-4,-4.0,-11.605876185,-0.967156348747,R
CBO_Mixed_2,CBO,Mixed,2,-4,6.0,1.7763568394e-15,5.22457893941e-17,B
