Trial,Type,IsLearning,LeftWeight,LeftTorque,RightWeight,RightTorque,TorqueDiff
Learning_CD_0,CD,TRUE,5,5.62776513216,3,-6.64095892029,12.2687240524
Learning_CW_0,CW,TRUE,3,7.21591907145,6,-15.546298807,22.7622178784
Learning_CD_1,CD,TRUE,6,9.82554925695,4,-11.3406679045,21.1662171614
Learning_CW_1,CW,TRUE,3,10.7967344064,9,-19.4710862122,30.2678206186
Learning_CD_2,CD,TRUE,6,8.56503057097,4,-10.994326434,19.559357005
Learning_CW_2,CW,TRUE,5,9.96900531531,7,-20.3903209652,30.3593262805
Learning_CD_3,CD,TRUE,5,8.94998965142,4,-12.416031894,21.3660215454
Learning_CW_3,CW,TRUE,5,12.73174763,9,-23.0819186889,35.8136663189
Learning_CD_4,CD,TRUE,5,3.26393566642,3,-4.90567878169,8.16961444812
Learning_CW_4,CW,TRUE,3,6.63899193499,7,-16.6015825017,23.2405744367
Learning_CD_5,CD,TRUE,6,4.80748832648,3,-9.03206233559,13.8395506621
Learning_CW_5,CW,TRUE,2,7.73167410492,5,-17.1846344836,24.9163085885
Learning_CD_6,CD,TRUE,4,6.28356363611,3,-8.29298504303,14.5765486791
Learning_CW_6,CW,TRUE,3,6.12187327675,6,-17.297311258,23.4191845347
Learning_CD_7,CD,TRUE,6,8.77008228236,4,-12.1360305371,20.9061128194
Learning_CW_7,CW,TRUE,3,8.58725378913,6,-17.7535228415,26.3407766306
Learning_CD_8,CD,TRUE,4,8.68218749974,3,-9.68673039918,18.3689178989
Learning_CW_8,CW,TRUE,6,12.9349969634,10,-22.6048489746,35.539845938
Learning_CD_9,CD,TRUE,3,3.26115094508,2,-4.61337641656,7.87452736163
Learning_CW_9,CW,TRUE,1,4.22498877677,4,-13.2740863254,17.4990751022
Learning_CD_10,CD,TRUE,6,11.8202150762,4,-12.9286769203,24.7488919965
Learning_CW_10,CW,TRUE,3,8.82215644112,7,-17.2213544981,26.0435109392
Learning_CD_11,CD,TRUE,3,1.50698760572,1,-3.17636571228,4.683353318
Learning_CW_11,CW,TRUE,4,10.9409431968,7,-22.3860966426,33.3270398394
Learning_CD_12,CD,TRUE,4,6.41612450548,3,-8.62319566594,15.0393201714
Learning_CW_12,CW,TRUE,4,6.51452952534,6,-16.606419963,23.1209494883
Learning_CD_13,CD,TRUE,4,6.17578672888,3,-9.04409476337,15.2198814923
Learning_CW_13,CW,TRUE,4,10.4127769158,8,-22.0382289462,32.451005862
Learning_CD_14,CD,TRUE,4,6.30400769048,3,-12.18314095,18.4871486405
Learning_CW_14,CW,TRUE,4,9.32492483879,6,-19.0864966017,28.4114214404
Learning_CD_15,CD,TRUE,6,11.0482467474,5,-12.5594271344,23.6076738818
Learning_CW_15,CW,TRUE,2,5.28320946268,5,-16.4453692745,21.7285787372
Learning_IB_0,IB,TRUE,3,11.3301920777,3,-11.3301920777,22.6603841554
Learning_IB_1,IB,TRUE,7,19.4802633008,7,-19.4802633008,38.9605266015
Learning_IB_2,IB,TRUE,4,11.2846287027,4,-11.2846287027,22.5692574054
Learning_IB_3,IB,TRUE,4,10.0827483293,4,-10.0827483293,20.1654966586
Learning_IB_4,IB,TRUE,6,15.2598135251,6,-15.2598135251,30.5196270501
Learning_IB_5,IB,TRUE,3,9.77142480365,3,-9.77142480365,19.5428496073
Learning_IB_6,IB,TRUE,4,8.65507049734,4,-8.65507049734,17.3101409947
Learning_IB_7,IB,TRUE,5,10.7319590931,5,-10.7319590931,21.4639181862
Learning_IB_8,IB,TRUE,3,7.39299887367,3,-7.39299887367,14.7859977473
Learning_IB_9,IB,TRUE,3,5.18386689716,3,-5.18386689716,10.3677337943
Testing_CD_0,CD,FALSE,5,4.87658308799,2,-6.84450465607,11.7210877441
Testing_CW_0,CW,FALSE,3,9.56430796821,6,-14.2145566628,23.778864631
Testing_CB_0,CB,FALSE,2,4.28079617573,4,-4.28079617573,8.56159235146
Testing_CD_1,CD,FALSE,4,4.70549263172,3,-7.08792766067,11.7934202924
Testing_CW_1,CW,FALSE,2,4.19382291225,4,-5.65238334405,9.8462062563
Testing_CB_1,CB,FALSE,2,5.66713912983,5,-5.66713912983,11.3342782597
Testing_CD_2,CD,FALSE,3,6.34066477232,2,-8.71330313477,15.0539679071
Testing_CW_2,CW,FALSE,3,9.44313003668,5,-12.4193021338,21.8624321704
Testing_CB_2,CB,FALSE,4,11.2989679342,5,-11.2989679342,22.5979358683
Testing_CD_3,CD,FALSE,7,9.07282762698,5,-18.437151186,27.5099788129
Testing_CW_3,CW,FALSE,4,7.521845138,5,-9.41245655242,16.9343016904
Testing_CB_3,CB,FALSE,1,3.83838984951,2,-3.83838984951,7.67677969901
Testing_CD_4,CD,FALSE,4,6.32132009284,3,-7.72014319396,14.0414632868
Testing_CW_4,CW,FALSE,2,8.49800574433,7,-17.3472205999,25.8452263442
Testing_CB_4,CB,FALSE,3,7.93904292935,4,-7.93904292935,15.8780858587
Testing_CD_5,CD,FALSE,6,6.51868226322,4,-12.5293171182,19.0479993814
Testing_CW_5,CW,FALSE,1,4.36547993677,5,-5.46456430032,9.83004423709
