Trial,Type,Materials,Number,NetBlocks,NetMass,NetTorque,CenterOfMass,Falls
Bal_Pure_0,Bal,Pure,0,0,0.0,0.0,0.0,B
Bal_Mixed_0,Bal,Mixed,0,0,0.0,0.0,0.0,B
Weight_Pure_0,Weight,Pure,0,1,1.0,4.18383799365,0.220201999666,L
Weight_Mixed_0,Weight,Mixed,0,1,1.0,3.43608534536,0.0993088250104,L
Dist_Pure_0,Dist,Pure,0,0,0.0,16.4698236862,0.283962477348,L
Dist_Mixed_0,Dist,Mixed,0,0,0.0,14.8467313095,0.394859875254,L
Bal_Pure_1,Bal,Pure,1,0,0.0,0.0,0.0,B
Bal_Mixed_1,Bal,Mixed,1,0,0.0,0.0,0.0,B
Weight_Pure_1,Weight,Pure,1,1,1.0,3.0356419075,0.233510915961,L
Weight_Mixed_1,Weight,Mixed,1,1,2.4,6.08935321411,0.0933949879465,L
Dist_Pure_1,Dist,Pure,1,0,0.0,7.94315053871,0.902630743035,L
Dist_Mixed_1,Dist,Mixed,1,0,0.0,39.6877793448,0.463642282066,L
Bal_Pure_2,Bal,Pure,2,0,0.0,0.0,0.0,B
Bal_Mixed_2,Bal,Mixed,2,0,0.0,0.0,0.0,B
Weight_Pure_2,Weight,Pure,2,1,9.0,25.2767552031,0.208898803332,L
Weight_Mixed_2,Weight,Mixed,2,1,9.0,22.1525505316,0.448432196996,L
Dist_Pure_2,Dist,Pure,2,0,0.0,16.3053527495,0.173461199463,L
Dist_Mixed_2,Dist,Mixed,2,0,0.0,9.00950392791,0.375395996996,L
Bal_Pure_3,Bal,Pure,3,0,0.0,0.0,0.0,B
Bal_Mixed_3,Bal,Mixed,3,0,0.0,0.0,0.0,B
Weight_Pure_3,Weight,Pure,3,1,2.4,5.83378974423,0.227882411884,L
Weight_Mixed_3,Weight,Mixed,3,1,1.0,2.45633941003,0.0656775243322,L
Dist_Pure_3,Dist,Pure,3,0,-1.33226762955e-15,8.02853766355,0.21352493786,L
Dist_Mixed_3,Dist,Mixed,3,0,0.0,3.81525243149,0.353264114027,L
Bal_Pure_4,Bal,Pure,4,0,0.0,0.0,0.0,B
Bal_Mixed_4,Bal,Mixed,4,0,0.0,0.0,0.0,B
Weight_Pure_4,Weight,Pure,4,1,2.4,9.37745949177,0.266405099198,L
Weight_Mixed_4,Weight,Mixed,4,1,2.4,7.31341509008,0.192458291844,L
Dist_Pure_4,Dist,Pure,4,0,0.0,44.590643819,0.586718997619,L
Dist_Mixed_4,Dist,Mixed,4,0,0.0,5.96963677283,0.552744145632,L
Bal_Pure_5,Bal,Pure,5,0,0.0,0.0,0.0,B
Bal_Mixed_5,Bal,Mixed,5,0,0.0,0.0,0.0,B
Weight_Pure_5,Weight,Pure,5,1,2.4,4.82746478325,0.188572843096,L
Weight_Mixed_5,Weight,Mixed,5,1,9.0,36.5933703855,1.9259668624,L
Dist_Pure_5,Dist,Pure,5,0,0.0,12.0299794107,0.207413438116,L
Dist_Mixed_5,Dist,Mixed,5,0,0.0,9.26182821338,0.196225174012,L
Bal_Pure_6,Bal,Pure,6,0,0.0,0.0,0.0,B
Bal_Mixed_6,Bal,Mixed,6,0,0.0,0.0,0.0,B
Weight_Pure_6,Weight,Pure,6,1,1.0,2.97546789743,0.270497081585,L
Weight_Mixed_6,Weight,Mixed,6,1,1.0,1.05448601698,0.0211744180116,L
Dist_Pure_6,Dist,Pure,6,0,-8.881784197e-16,2.44004828859,0.132611320032,L
Dist_Mixed_6,Dist,Mixed,6,0,0.0,9.02069642128,0.375862350887,L
Bal_Pure_7,Bal,Pure,7,0,0.0,0.0,0.0,B
Bal_Mixed_7,Bal,Mixed,7,0,0.0,0.0,0.0,B
Weight_Pure_7,Weight,Pure,7,1,9.0,10.2640265121,0.153194425554,L
Weight_Mixed_7,Weight,Mixed,7,1,2.4,6.46899374906,0.323449687453,L
Dist_Pure_7,Dist,Pure,7,0,0.0,25.7349050391,0.443705259294,L
Dist_Mixed_7,Dist,Mixed,7,0,0.0,22.2095166359,0.82871330731,L
CB_Pure_0,CB,Pure,0,1,9.0,-3.5527136788e-15,-5.30255772955e-17,B
CB_Mixed_0,CB,Mixed,0,0,5.2,-1.7763568394e-15,-4.27008855625e-17,B
CW_Pure_0,CW,Pure,0,2,18.0,11.0900698317,0.117979466295,L
CW_Mixed_0,CW,Mixed,0,-1,12.2,65.0140600523,1.28486284688,L
CD_Pure_0,CD,Pure,0,-1,-2.4,10.2587742664,0.49321030127,L
CD_Mixed_0,CD,Mixed,0,3,-2.2,2.20441917931,0.0280460455384,L
CB_Pure_1,CB,Pure,1,1,2.4,-8.881784197e-16,-4.27008855625e-17,B
CB_Mixed_1,CB,Mixed,1,1,9.0,0.0,0.0,B
CW_Pure_1,CW,Pure,1,3,7.2,23.6070078038,0.776546309336,L
CW_Mixed_1,CW,Mixed,1,2,4.8,19.0393966847,0.406824715486,L
CD_Pure_1,CD,Pure,1,-1,-2.4,26.3110259779,0.865494275588,L
